                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5697,                 3.1036,                 1.3562,                0.08148,                0.97778,                0.18927,                0.11481,                 1.2566,                 2.8068,                 1.1278,                0.00022,                0.00022,                0.00022
                      1,                 1.5891,                 1.4518,                 1.2383,                0.74528,                0.59819,                0.75352,                 0.4428,                 1.4147,                 1.7755,                 1.1548,             0.00045772,             0.00045772,             0.00045772
                      2,                 1.5023,                 1.1432,                 1.2083,                0.83584,                0.62444,                0.77585,                0.48285,                 1.3909,                 1.7625,                 1.1956,             0.00069307,             0.00069307,             0.00069307
                      3,                  1.497,                 1.1468,                 1.2087,                0.75926,                0.70222,                0.76863,                0.45954,                 1.4359,                  1.406,                   1.21,             0.00092604,             0.00092604,             0.00092604
                      4,                  1.437,                 1.0459,                 1.1704,                0.77531,                0.84349,                0.82887,                0.51978,                 1.2817,                 1.1644,                 1.1255,              0.0011566,              0.0011566,              0.0011566
                      5,                 1.5331,                 1.0668,                 1.1749,                0.84741,                0.80216,                0.84256,                0.50915,                 1.3075,                 1.1975,                 1.1136,              0.0013849,              0.0013849,              0.0013849
                      6,                 1.4531,                0.99679,                  1.177,                0.82345,                0.81879,                0.86434,                0.50966,                 1.4174,                 1.1374,                 1.1816,              0.0016107,              0.0016107,              0.0016107
                      7,                 1.3908,                0.96783,                 1.1626,                0.78989,                0.82667,                0.81678,                0.51086,                 1.2604,                 1.2025,                 1.1133,              0.0018342,              0.0018342,              0.0018342
                      8,                 1.4246,                0.96256,                 1.1672,                0.83121,                0.87333,                0.88392,                0.54797,                 1.3064,                0.93794,                 1.1671,              0.0019208,              0.0019208,              0.0019208
                      9,                 1.4284,                0.93604,                 1.1593,                0.80296,                0.85333,                0.87236,                0.54946,                 1.2666,                 1.0452,                 1.1535,              0.0019208,              0.0019208,              0.0019208
